Region	Time	Type of Visa	NOM Arrivals	NOM Departures	NOM
Australia	2013	Permanent visa - Skill	38760	7780	30980
Australia	2013	Permanent visa - Special Eligibility and humanitarian	13310	150	13160
Australia	2013	Permanent visa - Other permanent visas	5430	5790	-360
Australia	2013	New Zealand Citizen (subclass 444)	46720	24550	22170
Australia	2013	Australian Citizen	78220	91390	-13170
Australia	2013	Other Visas	13030	14740	-1710
New South Wales	2004	Total 	128980	83010	45970
New South Wales	2004	Temporary visa - Total	61310	28140	33170
New South Wales	2004	Temporary visa - Vocational Education and Training sector	4180	1660	2520
New South Wales	2004	Temporary visa - Higher education sector	9110	2250	6870
New South Wales	2004	Temporary visa - Student other	15050	3670	11380
New South Wales	2004	Temporary visa - Temporary work skilled (subclass 457)	6800	3780	3020
New South Wales	2004	Temporary visa - Visitor	16790	8280	8520
New South Wales	2004	Temporary visa - Working Holiday	6690	1670	5020
New South Wales	2004	Temporary visa - Other temporary visas	2690	6840	-4140
New South Wales	2004	Permanent visa - Total	29590	7420	22170
New South Wales	2004	Permanent visa - Family	12670	1960	10710
New South Wales	2004	Permanent visa - Skill	11690	2970	8730
New South Wales	2004	Permanent visa - Special Eligibility and humanitarian	3800	130	3670
New South Wales	2004	Permanent visa - Other permanent visas	1420	2360	-930
New South Wales	2004	New Zealand Citizen (subclass 444)	11060	6300	4760
New South Wales	2004	Australian Citizen	23630	36060	-12430
New South Wales	2004	Other Visas	3400	5090	-1690
New South Wales	2005	Total 	130480	79680	50810
New South Wales	2005	Temporary visa - Total	59000	27210	31790
New South Wales	2005	Temporary visa - Vocational Education and Training sector	3980	1630	2350
New South Wales	2005	Temporary visa - Higher education sector	14210	4230	9980
New South Wales	2005	Temporary visa - Student other	7090	2860	4230
New South Wales	2005	Temporary visa - Temporary work skilled (subclass 457)	6930	4120	2810
New South Wales	2005	Temporary visa - Visitor	15680	6310	9370
New South Wales	2005	Temporary visa - Working Holiday	8070	1590	6480
New South Wales	2005	Temporary visa - Other temporary visas	3050	6460	-3410
New South Wales	2005	Permanent visa - Total	31090	6480	24600
New South Wales	2005	Permanent visa - Family	13040	1840	11200
New South Wales	2005	Permanent visa - Skill	12050	2680	9380
New South Wales	2005	Permanent visa - Special Eligibility and humanitarian	4620	100	4520
New South Wales	2005	Permanent visa - Other permanent visas	1380	1880	-490
New South Wales	2005	New Zealand Citizen (subclass 444)	11120	5970	5150
New South Wales	2005	Australian Citizen	25110	33620	-8500
New South Wales	2005	Other Visas	4170	6400	-2230
New South Wales	2006	Total 	140230	78210	62030
New South Wales	2006	Temporary visa - Total	67920	26130	41790
New South Wales	2006	Temporary visa - Vocational Education and Training sector	6240	1830	4400
New South Wales	2006	Temporary visa - Higher education sector	17090	5120	11970
